name,safe_name,price,link,image,file,original_file,processed_file,processed_size,label
Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,23.95,https://www.migros.com.tr/droetker-bardakta-puding-cikolata-parcali-vanilin-32-g-p-6c57e0,https://images.migrosone.com/sanalmarket/product/07100384/07100384_1-a1f195.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,dataset_split\train_aug\choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G_orig.jpg,330x330,chocolate
Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,23.95,https://www.migros.com.tr/droetker-bardakta-puding-cikolata-parcali-vanilin-32-g-p-6c57e0,https://images.migrosone.com/sanalmarket/product/07100384/07100384_1-a1f195.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,dataset_split\train_aug\choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G_aug1.jpg,330x330,chocolate
Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,23.95,https://www.migros.com.tr/droetker-bardakta-puding-cikolata-parcali-vanilin-32-g-p-6c57e0,https://images.migrosone.com/sanalmarket/product/07100384/07100384_1-a1f195.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,dataset_split\train_aug\choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G_aug2.jpg,330x330,chocolate
Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G,23.95,https://www.migros.com.tr/droetker-bardakta-puding-cikolata-parcali-vanilin-32-g-p-6c57e0,https://images.migrosone.com/sanalmarket/product/07100384/07100384_1-a1f195.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G.jpg,dataset_split\train_aug\choco_Dr.Oetker Bardakta Puding Çikolata Parçalı Vanilin 32 G_aug3.jpg,330x330,chocolate
Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,,https://www.migros.com.tr/doritos-taco-baharatli-misir-cipsi-super-boy-135-g-p-4d845e,https://images.migrosone.com/sanalmarket/product/05080158/05080158_1-bc8451.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,dataset_split\train_aug\snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G_orig.jpg,330x330,chips
Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,,https://www.migros.com.tr/doritos-taco-baharatli-misir-cipsi-super-boy-135-g-p-4d845e,https://images.migrosone.com/sanalmarket/product/05080158/05080158_1-bc8451.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,dataset_split\train_aug\snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G_aug1.jpg,330x330,chips
Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,,https://www.migros.com.tr/doritos-taco-baharatli-misir-cipsi-super-boy-135-g-p-4d845e,https://images.migrosone.com/sanalmarket/product/05080158/05080158_1-bc8451.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,dataset_split\train_aug\snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G_aug2.jpg,330x330,chips
Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G,,https://www.migros.com.tr/doritos-taco-baharatli-misir-cipsi-super-boy-135-g-p-4d845e,https://images.migrosone.com/sanalmarket/product/05080158/05080158_1-bc8451.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G.jpg,dataset_split\train_aug\snack_Doritos Taco Baharatlı Mısır Cipsi Süper Boy 135 G_aug3.jpg,330x330,chips
Torku No:1 Extra Çikolatalı Gofret 35 G,Torku No_1 Extra Çikolatalı Gofret 35 G,24.50,https://www.migros.com.tr/torku-no1-extra-cikolatali-gofret-35-g-p-6af81c,https://images.migrosone.com/sanalmarket/product/07010332/07010332-77d7f0.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,dataset_split\train_aug\choco_Torku No_1 Extra Çikolatalı Gofret 35 G_orig.jpg,330x330,chocolate
Torku No:1 Extra Çikolatalı Gofret 35 G,Torku No_1 Extra Çikolatalı Gofret 35 G,24.50,https://www.migros.com.tr/torku-no1-extra-cikolatali-gofret-35-g-p-6af81c,https://images.migrosone.com/sanalmarket/product/07010332/07010332-77d7f0.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,dataset_split\train_aug\choco_Torku No_1 Extra Çikolatalı Gofret 35 G_aug1.jpg,330x330,chocolate
Torku No:1 Extra Çikolatalı Gofret 35 G,Torku No_1 Extra Çikolatalı Gofret 35 G,24.50,https://www.migros.com.tr/torku-no1-extra-cikolatali-gofret-35-g-p-6af81c,https://images.migrosone.com/sanalmarket/product/07010332/07010332-77d7f0.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,dataset_split\train_aug\choco_Torku No_1 Extra Çikolatalı Gofret 35 G_aug2.jpg,330x330,chocolate
Torku No:1 Extra Çikolatalı Gofret 35 G,Torku No_1 Extra Çikolatalı Gofret 35 G,24.50,https://www.migros.com.tr/torku-no1-extra-cikolatali-gofret-35-g-p-6af81c,https://images.migrosone.com/sanalmarket/product/07010332/07010332-77d7f0.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,choco_Torku No_1 Extra Çikolatalı Gofret 35 G.jpg,dataset_split\train_aug\choco_Torku No_1 Extra Çikolatalı Gofret 35 G_aug3.jpg,330x330,chocolate
Migros İç Ceviz 150 G,Migros İç Ceviz 150 G,109.00,https://www.migros.com.tr/migros-ic-ceviz-150-g-p-7b49d3,https://images.migrosone.com/sanalmarket/product/08079827/08079827-a4c8ee.jpg,snack_Migros İç Ceviz 150 G.jpg,snack_Migros İç Ceviz 150 G.jpg,dataset_split\train_aug\snack_Migros İç Ceviz 150 G_orig.jpg,330x330,nuts_seeds
Migros İç Ceviz 150 G,Migros İç Ceviz 150 G,109.00,https://www.migros.com.tr/migros-ic-ceviz-150-g-p-7b49d3,https://images.migrosone.com/sanalmarket/product/08079827/08079827-a4c8ee.jpg,snack_Migros İç Ceviz 150 G.jpg,snack_Migros İç Ceviz 150 G.jpg,dataset_split\train_aug\snack_Migros İç Ceviz 150 G_aug1.jpg,330x330,nuts_seeds
Migros İç Ceviz 150 G,Migros İç Ceviz 150 G,109.00,https://www.migros.com.tr/migros-ic-ceviz-150-g-p-7b49d3,https://images.migrosone.com/sanalmarket/product/08079827/08079827-a4c8ee.jpg,snack_Migros İç Ceviz 150 G.jpg,snack_Migros İç Ceviz 150 G.jpg,dataset_split\train_aug\snack_Migros İç Ceviz 150 G_aug2.jpg,330x330,nuts_seeds
Migros İç Ceviz 150 G,Migros İç Ceviz 150 G,109.00,https://www.migros.com.tr/migros-ic-ceviz-150-g-p-7b49d3,https://images.migrosone.com/sanalmarket/product/08079827/08079827-a4c8ee.jpg,snack_Migros İç Ceviz 150 G.jpg,snack_Migros İç Ceviz 150 G.jpg,dataset_split\train_aug\snack_Migros İç Ceviz 150 G_aug3.jpg,330x330,nuts_seeds
Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G,Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G,29.90,https://www.migros.com.tr/biscolata-starz-bitter-cikolata-kakaolu-biskuvi-82-g-p-6afd75,https://images.migrosone.com/sanalmarket/product/07011701/7011701-36661c.jpg,choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,dataset_split\train_aug\choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G_orig.jpg,330x330,chocolate
Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G,Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G,29.90,https://www.migros.com.tr/biscolata-starz-bitter-cikolata-kakaolu-biskuvi-82-g-p-6afd75,https://images.migrosone.com/sanalmarket/product/07011701/7011701-36661c.jpg,choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G.jpg,dataset_split\train_aug\choco_Biscolata Starz Bitter Çikolata Kakaolu Bisküvi 82 G_aug1.jpg,330x330,chocolate
